Year,GDP_Growth,GFCF_Growth,GDS_pct_GDP
1990,5.33,8.4,21.63
1991,7.38,3.71,22.66
1992,8.92,1.41,23.18
1993,5.45,7.12,23.33
1994,3.99,2.08,23.19
1995,8.53,8.76,23.47
1996,-5.77,-7.07,23.6
1997,3.83,-3.12,23.61
1998,5.65,5.63,23.9
1999,8.97,7.91,25.29
2000,7.17,12.59,24.92
2001,7.29,15.52,25.79
2002,6.44,12.93,26.51
2003,7.38,18.53,27.44
2004,6.43,0.89,27.63
2005,9.68,11.11,28.62
2006,1.17,-5.6,29.57
2007,9.68,15.65,30.1
2008,7.99,13.08,29.94
2009,8.28,8.39,31.37
2010,6.95,10.47,32.05
2011,8.19,9.27,31.9
2012,3.44,-7.7,32.25
2013,8.25,9.98,32.61
2014,4.83,11.99,32.71
2015,6.69,2.66,33.17
2016,5.09,-1.6,32.34
2017,6.7,6.65,31.58
2018,7.69,14.07,32.03
2019,7.34,10.19,31.91
2020,9.68,22.19,32.41
2021,7.61,4.03,33.04
2022,5.42,6.39,32.31
2023,9.67,8.67,33.17
2024,6.29,11.39,33.25
2025,8.51,11.66,34.37
